sample_id,observer_robot,target_robot,stamp_ns,visible,range_m,bearing_deg,u_px,bbox_w_px,bbox_h_px,raw_path,annotated_path
0,tb1,tb2,1777025675142880273,1,2.5991,-30.965,632.41,82.88,89.53,images/00_tb1_sees_tb2_01_t1777025675142880273_raw.png,images/00_tb1_sees_tb2_01_t1777025675142880273_annotated.png
1,tb1,tb2,1777025844849105492,1,1.5455,-30.492,626.67,138.69,149.82,images/01_tb1_sees_tb2_192_t1777025844849105492_raw.png,images/01_tb1_sees_tb2_192_t1777025844849105492_annotated.png
2,tb1,tb2,1777026055141955255,1,1.8721,-13.592,448.60,101.51,109.65,images/02_tb1_sees_tb2_384_t1777026055141955255_raw.png,images/02_tb1_sees_tb2_384_t1777026055141955255_annotated.png
3,tb1,tb2,1777026226941583397,1,1.8564,21.020,127.39,106.59,115.15,images/03_tb1_sees_tb2_575_t1777026226941583397_raw.png,images/03_tb1_sees_tb2_575_t1777026226941583397_annotated.png
4,tb2,tb1,1777025697582158227,1,2.2907,-30.173,619.49,93.86,101.40,images/04_tb2_sees_tb1_172_t1777025697582158227_raw.png,images/04_tb2_sees_tb1_172_t1777025697582158227_annotated.png
5,tb2,tb1,1777025811866378924,1,0.5121,-20.438,511.72,387.37,418.46,images/05_tb2_sees_tb1_363_t1777025811866378924_raw.png,images/05_tb2_sees_tb1_363_t1777025811866378924_annotated.png
6,tb2,tb1,1777025897882159234,1,1.8083,-30.732,626.27,119.59,129.18,images/06_tb2_sees_tb1_555_t1777025897882159234_raw.png,images/06_tb2_sees_tb1_555_t1777025897882159234_annotated.png
7,tb2,tb1,1777025984182932609,1,0.8680,27.744,47.71,241.98,261.40,images/07_tb2_sees_tb1_746_t1777025984182932609_raw.png,images/07_tb2_sees_tb1_746_t1777025984182932609_annotated.png
8,tb2,tb1,1777026027983756416,1,2.2677,4.442,279.19,82.22,88.82,images/08_tb2_sees_tb1_937_t1777026027983756416_raw.png,images/08_tb2_sees_tb1_937_t1777026027983756416_annotated.png
9,tb2,tb1,1777026047085889969,1,2.8268,-23.351,542.22,71.63,77.37,images/09_tb2_sees_tb1_1128_t1777026047085889969_raw.png,images/09_tb2_sees_tb1_1128_t1777026047085889969_annotated.png
10,tb2,tb1,1777026099284311312,1,2.1476,-17.460,481.70,90.73,98.02,images/10_tb2_sees_tb1_1320_t1777026099284311312_raw.png,images/10_tb2_sees_tb1_1320_t1777026099284311312_annotated.png
11,tb2,tb1,1777026219485261423,1,2.0159,-30.422,622.50,106.93,115.51,images/11_tb2_sees_tb1_1511_t1777026219485261423_raw.png,images/11_tb2_sees_tb1_1511_t1777026219485261423_annotated.png
