stamp_ns,time_s_from_start,visible,rel_x_m,rel_y_m,range_m,bearing_deg,u_px,bbox_w_px,bbox_h_px,sync_dt_ms
1777025614480902671,0.000,1,2.5238,0.2880,2.5402,6.510,260.38,73.65,79.56,0.825
1777025614582932560,0.102,1,2.5238,0.2880,2.5402,6.510,260.38,73.65,79.56,1.030
1777025614684259884,0.203,1,2.5238,0.2879,2.5402,6.508,260.40,73.65,79.56,2.544
1777025614783340551,0.302,1,2.5238,0.2879,2.5402,6.508,260.40,73.65,79.56,2.012
1777025614880762313,0.400,1,2.5238,0.2880,2.5402,6.510,260.38,73.65,79.56,0.860
1777025614980371696,0.499,1,2.5238,0.2881,2.5402,6.513,260.35,73.65,79.56,1.495
1777025615082513398,0.602,1,2.5238,0.2879,2.5402,6.508,260.40,73.65,79.56,0.323
1777025615183021825,0.702,1,2.5238,0.2880,2.5402,6.510,260.38,73.65,79.56,0.087
1777025615283522141,0.803,1,2.5238,0.2879,2.5402,6.508,260.39,73.65,79.56,1.790
1777025615382700418,0.902,1,2.5238,0.2877,2.5402,6.504,260.44,73.65,79.56,0.189
1777025615480790135,1.000,1,2.5238,0.2876,2.5402,6.502,260.45,73.65,79.56,1.980
1777025615580911474,1.100,1,2.5238,0.2877,2.5402,6.504,260.44,73.65,79.56,1.523
1777025615680651336,1.200,1,2.5238,0.2881,2.5402,6.511,260.37,73.65,79.56,2.121
1777025615782595041,1.302,1,2.5238,0.2879,2.5402,6.508,260.40,73.65,79.56,0.538
1777025615882750047,1.402,1,2.5238,0.2880,2.5402,6.509,260.38,73.65,79.56,2.443
1777025615983165790,1.502,1,2.5238,0.2879,2.5402,6.508,260.39,73.65,79.56,0.452
1777025616082833690,1.602,1,2.5238,0.2879,2.5402,6.508,260.40,73.65,79.56,1.467
1777025616182662755,1.702,1,2.5238,0.2878,2.5402,6.507,260.41,73.65,79.56,0.900
1777025616283147053,1.802,1,2.5238,0.2878,2.5402,6.507,260.41,73.65,79.56,0.274
1777025616385524549,1.905,1,2.5238,0.2877,2.5402,6.504,260.43,73.65,79.56,2.420
1777025616484852583,2.004,1,2.5238,0.2878,2.5402,6.506,260.42,73.65,79.56,1.223
1777025616583987527,2.103,1,2.5238,0.2878,2.5402,6.506,260.42,73.65,79.56,0.553
1777025616682302722,2.201,1,2.5246,0.2819,2.5403,6.372,261.64,73.63,79.54,1.557
1777025616781268724,2.300,1,2.5240,0.2841,2.5399,6.422,261.19,73.65,79.56,2.543
